,Numero_Proyecto_Ley,Título,Sumilla,Etiqueta,Texto
212,4077,LEY DE REFORMA CONSTITUCIONAL QUE AUTORIZA EL ADELANTO DE ELECCIONES EN EL MES DE OCTUBRE DEL AÑO 2023,"PROPONE INCORPORAR DISPOSICIONES TRANSITORIAS ESPECIALES EN LA CONSTITUCIÓN POLÍTICA DEL PERÚ, CON LA FINALIDAD DE RECORTAR EL MANDATO PRESIDENCIAL; EL MANDATO DE LOS CONGRESISTAS DE LA REPÚBLICA Y, DE LOS REPRESENTANTES ANTE EL PARLAMENTO ANDINO ELEGIDOS EN LAS ELECCIONES GENERALES DEL 2021.",POSITIVO,"LEY DE REFORMA CONSTITUCIONAL QUE AUTORIZA EL ADELANTO DE ELECCIONES EN EL MES DE OCTUBRE DEL AÑO 2023 PROPONE INCORPORAR DISPOSICIONES TRANSITORIAS ESPECIALES EN LA CONSTITUCIÓN POLÍTICA DEL PERÚ, CON LA FINALIDAD DE RECORTAR EL MANDATO PRESIDENCIAL; EL MANDATO DE LOS CONGRESISTAS DE LA REPÚBLICA Y, DE LOS REPRESENTANTES ANTE EL PARLAMENTO ANDINO ELEGIDOS EN LAS ELECCIONES GENERALES DEL 2021."
213,4405,LEY DE REFORMA CONSTITUCIONAL QUE AUTORIZA REALIZAR UN REFERENDUM PARA SOMETER A CONSULTA LA INSTALACION DE UNA ASAMBLEA CONSTITUYENTE QUE ELABORE UNA NUEVA CONSTITUCION,PROPONE INCORPORAR LA CUARTA DISPOSICIÓN TRANSITORIA ESPECIAL A LA CONSTITUCIÓN POLÍTICA DEL PERÚ.,NEGATIVO,LEY DE REFORMA CONSTITUCIONAL QUE AUTORIZA REALIZAR UN REFERENDUM PARA SOMETER A CONSULTA LA INSTALACION DE UNA ASAMBLEA CONSTITUYENTE QUE ELABORE UNA NUEVA CONSTITUCION PROPONE INCORPORAR LA CUARTA DISPOSICIÓN TRANSITORIA ESPECIAL A LA CONSTITUCIÓN POLÍTICA DEL PERÚ.
214,3780,LEY DE REFORMA CONSTITUCIONAL QUE CONVOCA A REFERENDUM PARA ASAMBLEA CONSTITUYENTE,PROPONE REFORMA CONSTITUCIONAL QUE CONVOCA A REFERENDUM PARA ASAMBLEA CONSTITUYENTE.,NEGATIVO,LEY DE REFORMA CONSTITUCIONAL QUE CONVOCA A REFERENDUM PARA ASAMBLEA CONSTITUYENTE PROPONE REFORMA CONSTITUCIONAL QUE CONVOCA A REFERENDUM PARA ASAMBLEA CONSTITUYENTE.
215,6816,"LEY DE REFORMA CONSTITUCIONAL QUE CREA LA ESCUELA NACIONAL DE LA MAGISTRATURA, ELEVA A NIVEL CONSTITUCIONAL LA AUTORIDAD NACIONAL DE CONTROL DEL PODER JUDICIAL Y DEL MINISTERIO PUBLICO Y CREA EL CONSEJO DE COORDINACIÓN INTERINSTITUCIONAL DEL SISTEMA DE JUSTICIA, MODIFICANDO LOS ARTÍCULOS 142, 144, 147, 150, 151, 152, 153, 154, 155, 156, 157, 158, 178, 182Y 183 DE LA CONSTITUCIÓN POLÍTICA DEL PERÚ","PROPONE REFORMA CONSTITUCIONAL TIENE POR OBJETO CREAR LA ESCUELA NACIONAL DE LA MAGISTRATURA, COMO ÚNICO MEDIO Y FORMA DE ACCESO A LA CARRERA JUDICIAL Y FISCAL. SU FINALIDAD ES LA SELECCIÓN, FORMACIÓN, CAPACITACIÓN Y NOMBRAMIENTO PARA EL INGRESO Y ASCENSO DE JUECES Y FISCALES. SU PROPÓSITO ES MEJORAR LA COMPETENCIA PROFESIONAL, ASÍ COMO, LAS ACTITUDES Y APTITUDES DE LOS MAGISTRADOS PARA GARANTIZAR UNA ADMINISTRACIÓN DE JUSTICIA INDEPENDIENTE, CONFIABLE, ACCESIBLE Y EFICIENTE Y CON ELLO, EL RESPETO DE LOS DERECHOS DE LAS PERSONAS Y EFECTIVIDAD DE SU FINALIDAD QUE ES LA PAZ SOCIAL EN JUSTICIA.",NEGATIVO,"LEY DE REFORMA CONSTITUCIONAL QUE CREA LA ESCUELA NACIONAL DE LA MAGISTRATURA, ELEVA A NIVEL CONSTITUCIONAL LA AUTORIDAD NACIONAL DE CONTROL DEL PODER JUDICIAL Y DEL MINISTERIO PUBLICO Y CREA EL CONSEJO DE COORDINACIÓN INTERINSTITUCIONAL DEL SISTEMA DE JUSTICIA, MODIFICANDO LOS ARTÍCULOS 142, 144, 147, 150, 151, 152, 153, 154, 155, 156, 157, 158, 178, 182Y 183 DE LA CONSTITUCIÓN POLÍTICA DEL PERÚ PROPONE REFORMA CONSTITUCIONAL TIENE POR OBJETO CREAR LA ESCUELA NACIONAL DE LA MAGISTRATURA, COMO ÚNICO MEDIO Y FORMA DE ACCESO A LA CARRERA JUDICIAL Y FISCAL. SU FINALIDAD ES LA SELECCIÓN, FORMACIÓN, CAPACITACIÓN Y NOMBRAMIENTO PARA EL INGRESO Y ASCENSO DE JUECES Y FISCALES. SU PROPÓSITO ES MEJORAR LA COMPETENCIA PROFESIONAL, ASÍ COMO, LAS ACTITUDES Y APTITUDES DE LOS MAGISTRADOS PARA GARANTIZAR UNA ADMINISTRACIÓN DE JUSTICIA INDEPENDIENTE, CONFIABLE, ACCESIBLE Y EFICIENTE Y CON ELLO, EL RESPETO DE LOS DERECHOS DE LAS PERSONAS Y EFECTIVIDAD DE SU FINALIDAD QUE ES LA PAZ SOCIAL EN JUSTICIA."
216,8040,"LEY DE REFORMA CONSTITUCIONAL QUE DECLARA EN REORGANIZACIÓN A LA JUNTA NACIONAL DE JUSTICIA Y AL MINISTERIO PÚBLICO, Y DEROGA EL INCISO 2 DEL ARTÍCULO 154 DE LA CONSTITUCIÓN","PROPONE REFORMAR LA CONSTITUCIÓN POLÍTICA DEL PERÚ, PARA DECLARAR EN REORGANIZACIÓN A LA JUNTA NACIONAL DE JUSTICIA Y AL MINISTERIO PÚBLICO Y, DEROGAR EL INCISO 2 DEL ARTÍCULO 154.",NEGATIVO,"LEY DE REFORMA CONSTITUCIONAL QUE DECLARA EN REORGANIZACIÓN A LA JUNTA NACIONAL DE JUSTICIA Y AL MINISTERIO PÚBLICO, Y DEROGA EL INCISO 2 DEL ARTÍCULO 154 DE LA CONSTITUCIÓN PROPONE REFORMAR LA CONSTITUCIÓN POLÍTICA DEL PERÚ, PARA DECLARAR EN REORGANIZACIÓN A LA JUNTA NACIONAL DE JUSTICIA Y AL MINISTERIO PÚBLICO Y, DEROGAR EL INCISO 2 DEL ARTÍCULO 154."
217,3805,"LEY DE REFORMA CONSTITUCIONAL QUE DISPONE EL CIERRE DEL CONGRESO, ADELANTO DE ELECCIONES GENERALES 2023 Y REFERENDUM PARA CAMBIAR LA CONSTITUCIÓN DE 1993","PROPONE REFORMA CONSTITUCIONAL QUE DISPONE EL CIERRE DEL CONGRESO, ADELANTO DE ELECCIONES GENERALES 2023 Y REFERENDUM PARA CAMBIAR LA CONSTITUCIÓN DE 1993.",NEGATIVO,"LEY DE REFORMA CONSTITUCIONAL QUE DISPONE EL CIERRE DEL CONGRESO, ADELANTO DE ELECCIONES GENERALES 2023 Y REFERENDUM PARA CAMBIAR LA CONSTITUCIÓN DE 1993 PROPONE REFORMA CONSTITUCIONAL QUE DISPONE EL CIERRE DEL CONGRESO, ADELANTO DE ELECCIONES GENERALES 2023 Y REFERENDUM PARA CAMBIAR LA CONSTITUCIÓN DE 1993."
218,1979,LEY DE REFORMA CONSTITUCIONAL QUE ESTABLECE EL DERECHO A LA PARTICIPACIÓN ECONÓMICA DE LAS COMUNIDADES CAMPESINAS Y NATIVAS EN LAS ACTIVIDADES EXTRACTIVAS Y EL DERECHO DE PROPIEDAD DEL TERRITORIO Y SUS RECURSOS,PROPONE REFORMA CONSTITUCIONAL QUE ESTABLECE EL DERECHO A LA PARTICIPACIÓN ECONÓMICA DE LAS COMUNIDADES CAMPESINAS Y NATIVAS EN LAS ACTIVIDADES EXTRACTIVAS Y EL DERECHO DE PROPIEDAD DEL TERRITORIO Y SUS RECURSOS.,POSITIVO,LEY DE REFORMA CONSTITUCIONAL QUE ESTABLECE EL DERECHO A LA PARTICIPACIÓN ECONÓMICA DE LAS COMUNIDADES CAMPESINAS Y NATIVAS EN LAS ACTIVIDADES EXTRACTIVAS Y EL DERECHO DE PROPIEDAD DEL TERRITORIO Y SUS RECURSOS PROPONE REFORMA CONSTITUCIONAL QUE ESTABLECE EL DERECHO A LA PARTICIPACIÓN ECONÓMICA DE LAS COMUNIDADES CAMPESINAS Y NATIVAS EN LAS ACTIVIDADES EXTRACTIVAS Y EL DERECHO DE PROPIEDAD DEL TERRITORIO Y SUS RECURSOS.
219,5763,LEY DE REFORMA CONSTITUCIONAL QUE ESTABLECE EL USO DE LA INTELIGENCIA ARTIFICIAL COMO UNO DE LOS PRINCIPIOS DE LA ADMINISTRACIÓN DE JUSTICIA,PROPONE LEY DE REFORMA CONSTITUCIONAL QUE ESTABLECE EL USO DE LA INTELIGENCIA ARTIFICIAL COMO UNO DE LOS PRINCIPIOS DE LA ADMINISTRACIÓN DE JUSTICIA.,NEGATIVO,LEY DE REFORMA CONSTITUCIONAL QUE ESTABLECE EL USO DE LA INTELIGENCIA ARTIFICIAL COMO UNO DE LOS PRINCIPIOS DE LA ADMINISTRACIÓN DE JUSTICIA PROPONE LEY DE REFORMA CONSTITUCIONAL QUE ESTABLECE EL USO DE LA INTELIGENCIA ARTIFICIAL COMO UNO DE LOS PRINCIPIOS DE LA ADMINISTRACIÓN DE JUSTICIA.
220,5378,LEY DE REFORMA CONSTITUCIONAL QUE ESTABLECE LA ELABORACION DE UNA NUEVA CONSTITUCION POLÍTICA A TRAVES DE UNA ASAMBLEA CONSTITUYENTE,"PROPONE MODIFICAR EL ARTÍCULO 206 E INCORPORAR EL ARTÍCULO 207, SOBRE REFORMA PARCIAL Y TOTAL DE LA CONSTITUCIÓN POLÍTICA DEL ESTADO.",NEGATIVO,"LEY DE REFORMA CONSTITUCIONAL QUE ESTABLECE LA ELABORACION DE UNA NUEVA CONSTITUCION POLÍTICA A TRAVES DE UNA ASAMBLEA CONSTITUYENTE PROPONE MODIFICAR EL ARTÍCULO 206 E INCORPORAR EL ARTÍCULO 207, SOBRE REFORMA PARCIAL Y TOTAL DE LA CONSTITUCIÓN POLÍTICA DEL ESTADO."
221,11806,LEY DE REFORMA CONSTITUCIONAL QUE ESTABLECE LA ELECCIÓN MEDIANTE VOTO POPULAR DE JUECES Y FISCALES SUPREMOS,"PROPONE REFORMAR LOS ARTÍCULOS 31, 147 Y 158 DE LA CONSTITUCIÓN POLÍTICA DEL PERÚ PARA ESTABLECER LA ELECCIÓN MEDIANTE VOTO POPULAR DE JUECES Y FISCALES SUPREMOS",NEGATIVO,"LEY DE REFORMA CONSTITUCIONAL QUE ESTABLECE LA ELECCIÓN MEDIANTE VOTO POPULAR DE JUECES Y FISCALES SUPREMOS PROPONE REFORMAR LOS ARTÍCULOS 31, 147 Y 158 DE LA CONSTITUCIÓN POLÍTICA DEL PERÚ PARA ESTABLECER LA ELECCIÓN MEDIANTE VOTO POPULAR DE JUECES Y FISCALES SUPREMOS"
222,4035,LEY DE REFORMA CONSTITUCIONAL QUE ESTABLECE LA INCOMPATIBILIDAD DE LOS CARGOS DE CONGRESISTA DE LA REPÚBLICA Y MINISTRO DE ESTADO,PROPONE REFORMA CONSTITUCIONAL QUE ESTABLECE LA INCOMPATIBILIDAD DE LOS CARGOS DE CONGRESISTA DE LA REPÚBLICA Y MINISTRO DE ESTADO.,POSITIVO,LEY DE REFORMA CONSTITUCIONAL QUE ESTABLECE LA INCOMPATIBILIDAD DE LOS CARGOS DE CONGRESISTA DE LA REPÚBLICA Y MINISTRO DE ESTADO PROPONE REFORMA CONSTITUCIONAL QUE ESTABLECE LA INCOMPATIBILIDAD DE LOS CARGOS DE CONGRESISTA DE LA REPÚBLICA Y MINISTRO DE ESTADO.
223,11494,LEY DE REFORMA CONSTITUCIONAL QUE ESTABLECE LA INTANGIBILIDAD DE LAS CABECERAS DE CUENCA Y DEL AGUA POTABLE EN LOS CENTROS POBLADOS DE LA ZONAS RURALES Y URBANAS QUE SON ADMINISTRADOS POR ENTES COMUNALES Y/O GENERADOS POR ELLOS,PROPONE REFORMA CONSTITUCIONAL ES MODIFICAR LOS SIGUIENTES ARTÍCULOS 7-A Y 66 DE LA CONSTITUCIÓN POLÍTICA DEL PERÚ CON LA FINALIDAD DE ESTABLECER LA INTANGIBILIDAD E INALIENABILIDAD DE LAS CABECERAS DE CUENCA Y DEL AGUA POTABLE EN LOS CENTROS POBLADOS DE LAS ZONAS RURALES Y URBANAS QUE SON ADMINISTRADOS POR LOS ENTES COMUNALES Y/O GENERADOS POR ELLOS,POSITIVO,LEY DE REFORMA CONSTITUCIONAL QUE ESTABLECE LA INTANGIBILIDAD DE LAS CABECERAS DE CUENCA Y DEL AGUA POTABLE EN LOS CENTROS POBLADOS DE LA ZONAS RURALES Y URBANAS QUE SON ADMINISTRADOS POR ENTES COMUNALES Y/O GENERADOS POR ELLOS PROPONE REFORMA CONSTITUCIONAL ES MODIFICAR LOS SIGUIENTES ARTÍCULOS 7-A Y 66 DE LA CONSTITUCIÓN POLÍTICA DEL PERÚ CON LA FINALIDAD DE ESTABLECER LA INTANGIBILIDAD E INALIENABILIDAD DE LAS CABECERAS DE CUENCA Y DEL AGUA POTABLE EN LOS CENTROS POBLADOS DE LAS ZONAS RURALES Y URBANAS QUE SON ADMINISTRADOS POR LOS ENTES COMUNALES Y/O GENERADOS POR ELLOS
224,6800,LEY DE REFORMA CONSTITUCIONAL QUE ESTABLECE LA MISIÓN DE LAS FUERZAS ARMADAS DE RESGUARDAR LAS FRONTERAS Y PROTEGER DE MANERA EXCEPCIONAL LAS ZONAS CRÍTICAS DEL PAÍS EN APOYO A LA,"PROPONE REFORMA CONSTITUCIONAL TIENE POR OBJETO MODIFICAR EL ARTÍCULO 165 DE LA CONSTITUCIÓN POLÍTICA DEL PERÚ, A FIN DE ESTABLECER LA MISIÓN DE LAS FUERZAS ARMADAS DE RESGUARDAR LAS FRONTERAS Y PROTEGER DE MANERA EXCEPCIONAL LAS ZONAS CRÍTICAS DEL PAÍS EN APOYO A LA POLICÍA NACIONAL DEL PERÚ, PARA ENFRENTAR EL NARCOTRÁFICO, EL CRIMEN ORGANIZADO Y LA INSEGURIDAD CIUDADANA, EN LOS CASOS CONSTITUCIONALMENTE JUSTIFICADOS, DE ACUERDO A LEY.",NEGATIVO,"LEY DE REFORMA CONSTITUCIONAL QUE ESTABLECE LA MISIÓN DE LAS FUERZAS ARMADAS DE RESGUARDAR LAS FRONTERAS Y PROTEGER DE MANERA EXCEPCIONAL LAS ZONAS CRÍTICAS DEL PAÍS EN APOYO A LA PROPONE REFORMA CONSTITUCIONAL TIENE POR OBJETO MODIFICAR EL ARTÍCULO 165 DE LA CONSTITUCIÓN POLÍTICA DEL PERÚ, A FIN DE ESTABLECER LA MISIÓN DE LAS FUERZAS ARMADAS DE RESGUARDAR LAS FRONTERAS Y PROTEGER DE MANERA EXCEPCIONAL LAS ZONAS CRÍTICAS DEL PAÍS EN APOYO A LA POLICÍA NACIONAL DEL PERÚ, PARA ENFRENTAR EL NARCOTRÁFICO, EL CRIMEN ORGANIZADO Y LA INSEGURIDAD CIUDADANA, EN LOS CASOS CONSTITUCIONALMENTE JUSTIFICADOS, DE ACUERDO A LEY."
225,2027,LEY DE REFORMA CONSTITUCIONAL QUE ESTABLECE LA REELECCIÓN PARA GOBERNADORES Y ALCALDES,PROPONE REFORMA CONSTITUCIONAL QUE ESTABLECE LA REELECCIÓN PARA GOBERNADORES Y ALCALDES.,NEGATIVO,LEY DE REFORMA CONSTITUCIONAL QUE ESTABLECE LA REELECCIÓN PARA GOBERNADORES Y ALCALDES PROPONE REFORMA CONSTITUCIONAL QUE ESTABLECE LA REELECCIÓN PARA GOBERNADORES Y ALCALDES.
226,4197,LEY DE REFORMA CONSTITUCIONAL QUE ESTABLECE LA VACANCIA DE LOS CONGRESISTAS POR RETIRO DEL PARTIDO POR EL QUE FUE ELEGIDO,PROPONE MODIFICAR DEL PRIMER PÁRRAFO DEL ARTÍCULO 95° DE LA CONSTITUCIÓN  POLÍTICA DEL PERÚ.,POSITIVO,LEY DE REFORMA CONSTITUCIONAL QUE ESTABLECE LA VACANCIA DE LOS CONGRESISTAS POR RETIRO DEL PARTIDO POR EL QUE FUE ELEGIDO PROPONE MODIFICAR DEL PRIMER PÁRRAFO DEL ARTÍCULO 95° DE LA CONSTITUCIÓN  POLÍTICA DEL PERÚ.
227,1534,LEY DE REFORMA CONSTITUCIONAL QUE ESTABLECE LA VÍA DE ELECCIÓN POPULAR PARA LA ELECCIÓN DEL DEFENSOR DEL PUEBLO Y DE LOS MAGISTRADOS DEL TRIBUNAL CONSTITUCIONAL,PROPONE REFORMA CONSTITUCIONAL QUE ESTABLECE LA VÍA DE ELECCIÓN POPULAR PARA LA ELECCIÓN DEL DEFENSOR DEL PUEBLO Y DE LOS MAGISTRADOS DEL TRIBUNAL CONSTITUCIONAL.,POSITIVO,LEY DE REFORMA CONSTITUCIONAL QUE ESTABLECE LA VÍA DE ELECCIÓN POPULAR PARA LA ELECCIÓN DEL DEFENSOR DEL PUEBLO Y DE LOS MAGISTRADOS DEL TRIBUNAL CONSTITUCIONAL PROPONE REFORMA CONSTITUCIONAL QUE ESTABLECE LA VÍA DE ELECCIÓN POPULAR PARA LA ELECCIÓN DEL DEFENSOR DEL PUEBLO Y DE LOS MAGISTRADOS DEL TRIBUNAL CONSTITUCIONAL.
228,4102,LEY DE REFORMA CONSTITUCIONAL QUE ESTABLECE LOS PROCESOS DE ELECCIONES COMPLEMENTARIAS Y FACULTA AL CONGRESO CONSTITUYENTE,"PROPONE MODIFICAR LA DURACIÓN DEL MANDATO DE LA PRESIDENTA DE LA REPÚBLICA, CONGRESISTAS DE LA REPÚBLICA, REPRESENTANTES PERUANOS ANTE EL PARLAMENTO ANDINO, GOBERNADORES REGIONALES, VICEGOBERNADORES REGIONALES, CONSEJEROS REGIONALES, ALCALDES Y REGIDORES, PROVINCIALES Y DISTRITALES, Y ESTABLECER LOS PROCESOS DE ELECCIONES GENERALES EXTRAORDINARIAS Y CONSTITUYENTES PARA QUE COMPLETEN EL PERIODO CONSTITUCIONAL PREVISTO EN LAS ELECCIONES GENERALES 2021 Y SE APRUEBE EL TEXTO DE LA NUEVA CONSTITUCIÓN POLÍTICA DEL PERÚ, Y ELECCIONES REGIONALES Y MUNICIPALES EXTRAORDINARIAS PARA QUE COMPLETEN EL PERIODO 2023 — 2026.",NEGATIVO,"LEY DE REFORMA CONSTITUCIONAL QUE ESTABLECE LOS PROCESOS DE ELECCIONES COMPLEMENTARIAS Y FACULTA AL CONGRESO CONSTITUYENTE PROPONE MODIFICAR LA DURACIÓN DEL MANDATO DE LA PRESIDENTA DE LA REPÚBLICA, CONGRESISTAS DE LA REPÚBLICA, REPRESENTANTES PERUANOS ANTE EL PARLAMENTO ANDINO, GOBERNADORES REGIONALES, VICEGOBERNADORES REGIONALES, CONSEJEROS REGIONALES, ALCALDES Y REGIDORES, PROVINCIALES Y DISTRITALES, Y ESTABLECER LOS PROCESOS DE ELECCIONES GENERALES EXTRAORDINARIAS Y CONSTITUYENTES PARA QUE COMPLETEN EL PERIODO CONSTITUCIONAL PREVISTO EN LAS ELECCIONES GENERALES 2021 Y SE APRUEBE EL TEXTO DE LA NUEVA CONSTITUCIÓN POLÍTICA DEL PERÚ, Y ELECCIONES REGIONALES Y MUNICIPALES EXTRAORDINARIAS PARA QUE COMPLETEN EL PERIODO 2023 — 2026."
229,1401,"LEY DE REFORMA CONSTITUCIONAL QUE ESTABLECE QUE LAS ELECCIONES CONVOCADAS POR EL PRESIDENTE DEL CONGRESO AL AMPARO DEL ARTÍCULO 115 DE LA CONSTITUCIÓN, SERÁ PARA LA ELECCIÓN DEL PRESIDENTE DE LA REPÚBLICA, VICEPRESIDENTES, ASÍ COMO DE LOS CONGRESISTAS DE LA REPÚBLICA Y DE LOS REPRESENTANTES PERUANOS ANTE EL PARLAMENTO ANDINO","PROPONE REFORMAR CONSTITUCIONAL QUE ESTABLECE QUE LAS ELECCIONES CONVOCADAS POR EL PRESIDENTE DEL CONGRESO AL AMPARO DEL ARTÍCULO 115 DE LA CONSTITUCIÓN, SERÁ PARA LA ELECCIÓN DEL PRESIDENTE DE LA REPÚBLICA, VICEPRESIDENTES, ASÍ COMO DE LOS CONGRESISTAS DE LA REPÚBLICA Y DE LOS REPRESENTANTES PERUANOS ANTE EL PARLAMENTO ANDINO.",NEGATIVO,"LEY DE REFORMA CONSTITUCIONAL QUE ESTABLECE QUE LAS ELECCIONES CONVOCADAS POR EL PRESIDENTE DEL CONGRESO AL AMPARO DEL ARTÍCULO 115 DE LA CONSTITUCIÓN, SERÁ PARA LA ELECCIÓN DEL PRESIDENTE DE LA REPÚBLICA, VICEPRESIDENTES, ASÍ COMO DE LOS CONGRESISTAS DE LA REPÚBLICA Y DE LOS REPRESENTANTES PERUANOS ANTE EL PARLAMENTO ANDINO PROPONE REFORMAR CONSTITUCIONAL QUE ESTABLECE QUE LAS ELECCIONES CONVOCADAS POR EL PRESIDENTE DEL CONGRESO AL AMPARO DEL ARTÍCULO 115 DE LA CONSTITUCIÓN, SERÁ PARA LA ELECCIÓN DEL PRESIDENTE DE LA REPÚBLICA, VICEPRESIDENTES, ASÍ COMO DE LOS CONGRESISTAS DE LA REPÚBLICA Y DE LOS REPRESENTANTES PERUANOS ANTE EL PARLAMENTO ANDINO."
230,3744,LEY DE REFORMA CONSTITUCIONAL QUE ESTABLEZCA LA BICAMERALIDAD EN EL CONGRESO DE LA REPÚBLICA,PROPONE REFORMAR CONSTITUCIONAL QUE ESTABLEZCA LA BICAMERALIDAD EN EL CONGRESO DE LA REPÚBLICA,NEGATIVO,LEY DE REFORMA CONSTITUCIONAL QUE ESTABLEZCA LA BICAMERALIDAD EN EL CONGRESO DE LA REPÚBLICA PROPONE REFORMAR CONSTITUCIONAL QUE ESTABLEZCA LA BICAMERALIDAD EN EL CONGRESO DE LA REPÚBLICA
231,4072,LEY DE REFORMA CONSTITUCIONAL QUE FACULTA EL RECORTE DEL MANDATO POPULAR Y AUTORIZA ELECCIONES GENERALES COMPLEMENTARIAS,"PROPONE REFORMAR LA CONSTITUCIÓN POLÍTICA DEL ESTADO ANTE LA GRAVE CRISIS POLÍTICA Y SOCIAL QUE VIVE NUESTRO PAÍS, A FIN DE RECORTAR EL MANDATO Y DISPONER UN PERIODO COMPLEMENTARIO QUE GARANTICE Y SEA EL CANAL DEMOCRÁTICO DE SOLUCIÓN PACÍFICA.",NEGATIVO,"LEY DE REFORMA CONSTITUCIONAL QUE FACULTA EL RECORTE DEL MANDATO POPULAR Y AUTORIZA ELECCIONES GENERALES COMPLEMENTARIAS PROPONE REFORMAR LA CONSTITUCIÓN POLÍTICA DEL ESTADO ANTE LA GRAVE CRISIS POLÍTICA Y SOCIAL QUE VIVE NUESTRO PAÍS, A FIN DE RECORTAR EL MANDATO Y DISPONER UN PERIODO COMPLEMENTARIO QUE GARANTICE Y SEA EL CANAL DEMOCRÁTICO DE SOLUCIÓN PACÍFICA."
232,4639,LEY DE REFORMA CONSTITUCIONAL QUE FORTALECE EL CONTROL POLÍTICO DE LA COMISIÓN PERMANENTE DURANTE EL INTERREGNO PARLAMENTARIO MEDIANTE LA MODIFICACIÓN DEL ARTÍCULO 135 DE LA CONSTITUCIÓN POLÍTICA DEL PERÚ,PROPONE MODIFICAR DEL ARTÍCULO 135 DE LA CONSTITUCIÓN POLÍTICA DEL PERÚ.,POSITIVO,LEY DE REFORMA CONSTITUCIONAL QUE FORTALECE EL CONTROL POLÍTICO DE LA COMISIÓN PERMANENTE DURANTE EL INTERREGNO PARLAMENTARIO MEDIANTE LA MODIFICACIÓN DEL ARTÍCULO 135 DE LA CONSTITUCIÓN POLÍTICA DEL PERÚ PROPONE MODIFICAR DEL ARTÍCULO 135 DE LA CONSTITUCIÓN POLÍTICA DEL PERÚ.
233,3249,LEY DE REFORMA CONSTITUCIONAL QUE FORTALECE LA ESTABILIDAD DEMOCRÁTICA DE LA NACIÓN,PROPONE REFORMAR CONSTITUCIONAL QUE FORTALECE LA ESTABILIDAD DEMOCRÁTICA DE LA NACIÓN,POSITIVO,LEY DE REFORMA CONSTITUCIONAL QUE FORTALECE LA ESTABILIDAD DEMOCRÁTICA DE LA NACIÓN PROPONE REFORMAR CONSTITUCIONAL QUE FORTALECE LA ESTABILIDAD DEMOCRÁTICA DE LA NACIÓN
234,7038,"LEY DE REFORMA CONSTITUCIONAL QUE FORTALECE LA INSTITUCIONALIDAD DEL JURADO NACIONAL DE ELECCIONES Y MODIFICA EL ARTÍCULO 179, NUMERAL 1 DE LA CONSTITUCIÓN POLÍTICA DEL PERÚ, PARA ESTABLECER EL MECANISMO DE ELECCIÓN DE SU PRESIDENTE POR LOS MIEMBROS TITULARES",PROPONE MODIFICAR DEL NUMERAL 1 DEL ARTÍCULO 179 DE LA CONSTITUCIÓN POLÍTICA DEL PERÚ,NEGATIVO,"LEY DE REFORMA CONSTITUCIONAL QUE FORTALECE LA INSTITUCIONALIDAD DEL JURADO NACIONAL DE ELECCIONES Y MODIFICA EL ARTÍCULO 179, NUMERAL 1 DE LA CONSTITUCIÓN POLÍTICA DEL PERÚ, PARA ESTABLECER EL MECANISMO DE ELECCIÓN DE SU PRESIDENTE POR LOS MIEMBROS TITULARES PROPONE MODIFICAR DEL NUMERAL 1 DEL ARTÍCULO 179 DE LA CONSTITUCIÓN POLÍTICA DEL PERÚ"
235,4833,"LEY DE REFORMA CONSTITUCIONAL QUE FORTALECE LA VIGILANCIA Y EL CONTROL DE LAS FRONTERAS TERRESTRES, MARÍTIMAS Y AÉREAS DE LA REPÚBLICA A TRAVÉS DE LA PARTICIPACIÓN PERMANENTE DE LAS FUERZAS ARMADAS.","PROPONE LEY DE REFORMA CONSTITUCIONAL QUE FORTALECE LA VIGILANCIA Y EL CONTROL DE LAS FRONTERAS TERRESTRES, MARÍTIMAS Y AÉREAS DE LA REPÚBLICA A TRAVÉS DE LA PARTICIPACIÓN PERMANENTE DE LAS FUERZAS ARMADAS.",POSITIVO,"LEY DE REFORMA CONSTITUCIONAL QUE FORTALECE LA VIGILANCIA Y EL CONTROL DE LAS FRONTERAS TERRESTRES, MARÍTIMAS Y AÉREAS DE LA REPÚBLICA A TRAVÉS DE LA PARTICIPACIÓN PERMANENTE DE LAS FUERZAS ARMADAS. PROPONE LEY DE REFORMA CONSTITUCIONAL QUE FORTALECE LA VIGILANCIA Y EL CONTROL DE LAS FRONTERAS TERRESTRES, MARÍTIMAS Y AÉREAS DE LA REPÚBLICA A TRAVÉS DE LA PARTICIPACIÓN PERMANENTE DE LAS FUERZAS ARMADAS."
236,879,LEY DE REFORMA CONSTITUCIONAL QUE GARANTIZA EL DERECHO DE ACCESO A INTERNET,PROPONE REFORMA CONSTITUCIONAL QUE GARANTIZA EL DERECHO DE ACCESO A INTERNET.,POSITIVO,LEY DE REFORMA CONSTITUCIONAL QUE GARANTIZA EL DERECHO DE ACCESO A INTERNET PROPONE REFORMA CONSTITUCIONAL QUE GARANTIZA EL DERECHO DE ACCESO A INTERNET.
